2023-05-03 12:55:56.476 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-05-03 12:55:56.478 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-05-03 12:55:56.487 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-03 12:55:56.488 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-03 12:55:56.488 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-03 12:55:56.597 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-03 12:55:56.597 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1651 ms
2023-05-03 12:55:59.309 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79e16dd9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5fa9247b, org.springframework.security.web.context.SecurityContextHolderFilter@102ecb61, org.springframework.security.web.header.HeaderWriterFilter@10a064bd, org.springframework.security.web.authentication.logout.LogoutFilter@361fa478, top.whf.security.filter.AuthenticationTokenFilter@41938e1e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@583030bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1f57666b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@21ce3b22, org.springframework.security.web.session.SessionManagementFilter@21c5c68a, org.springframework.security.web.access.ExceptionTranslationFilter@cb1c58c, org.springframework.security.web.access.intercept.AuthorizationFilter@7aab98b6]
2023-05-03 12:55:59.693 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-03 12:55:59.714 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-03 12:55:59.724 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 5.229 seconds (process running for 6.341)
2023-05-03 12:56:19.430 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-03 12:56:19.430 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-03 12:56:19.431 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-03 12:56:20.607 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 565 ms
2023-05-03 12:56:26.822 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-03 12:56:27.113 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@64f4ed04
2023-05-03 12:56:27.115 [http-nio-8080-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-03 13:10:30.756 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-03 13:10:30.760 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-03 13:10:35.013 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-03 13:10:35.076 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 25464 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-05-03 13:10:35.078 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-05-03 13:10:36.554 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-03 13:10:36.558 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-03 13:10:36.628 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 0 Redis repository interfaces.
2023-05-03 13:10:37.745 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-03 13:10:37.746 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-05-03 13:10:37.747 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-05-03 13:10:37.752 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-05-03 13:10:37.764 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-03 13:10:37.765 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-03 13:10:37.766 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-03 13:10:37.922 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-03 13:10:37.923 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2786 ms
2023-05-03 13:10:42.431 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1700d089, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@77e6053, org.springframework.security.web.context.SecurityContextHolderFilter@6032622, org.springframework.security.web.header.HeaderWriterFilter@6dbeaef8, org.springframework.security.web.authentication.logout.LogoutFilter@1f57666b, top.whf.security.filter.AuthenticationTokenFilter@525b8922, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4258106, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64ef2719, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7097d921, org.springframework.security.web.session.SessionManagementFilter@2ccecae2, org.springframework.security.web.access.ExceptionTranslationFilter@2d3bb944, org.springframework.security.web.access.intercept.AuthorizationFilter@7b8d6c66]
2023-05-03 13:10:43.137 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-03 13:10:43.176 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-03 13:10:43.193 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 8.621 seconds (process running for 10.037)
2023-05-03 13:11:05.356 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-03 13:11:05.357 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-03 13:11:05.358 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-03 13:11:06.580 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 583 ms
